"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"229","NW08141P000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)","597071",1.3235776,103.76762295
"230","NW08314K000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","930 YISHUN AVENUE 2 #B1-06/07, NORTHPOINT S(769098)","769098",1.42927133,103.836147800464
"231","NW08385B000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","604 SEMBAWANG ROAD #B1-25, SEMBAWANG SHOPPING CENTRE S(758459)","758459",1.44178845,103.824896841964
"232","NW08477X000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","36 HOLLAND DRIVE #01-03, S(270036)","270036",1.30923723,103.792744490266
"233","NW09437C000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","468B ADMIRALTY DRIVE #01-29, S(752468)","752468",1.4499976,103.81414
"234","NW10192C000","PHAN NEE TRADING","PHAN NEE TRADING LLP","49 ADMIRALTY ROAD WEST, COCHRANE LODGE II S(757444)","757444",1.4609528,103.818366300407
"235","NW11384E000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","1 WOODLANDS SQUARE #B1-31/32, CAUSEWAY POINT S(738099)","738099",1.43619150909091,103.785894481818
"236","NW11702X000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","200 WOODLANDS INDUSTRIAL PARK E7 #01-30, WOODLANDS RECREATION CENTRE S(757177) INTERIM RECREATION PARK","757177",1.4507862,103.7968231
"237","NW11767E000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","1 WOODLANDS ROAD #01-07, THE TENNERY S(677899)","677899",1.3803949,103.760101432739
"238","NW12G73N000","PRIME SUPERMARKET","PRIME SUPERMARKET (1996) PTE LTD","761 YISHUN STREET 72 #01-348, (#01-348-350-352 AND 354) S(760761) (#01-348-350-352 AND 354)","760761",1.4254738,103.8332192
"239","NW13K05E000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","570B WOODLANDS AVENUE 1 #01-06, S(732570)","732570",1.4309006,103.79075515
"240","NW15186C000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","547 SEGAR ROAD #01-06, MULTI STOREY CAR PARK S(670547)","670547",1.3879991,103.7697403
"241","NW15220L000","FORTUNE SUPERMARKET","FORTUNE SUPERMARKET PTE. LTD.","780 WOODLANDS CRESCENT #01-01, MULTI STOREY CAR PARK S(730780)","730780",1.448345,103.801058551232
"242","NW15295X000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)","589472",1.33669325,103.7835852
"243","NW16388B000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","18 YISHUN AVENUE 9 #02-06/10, JUNCTION NINE S(768897)","768897",1.4334697,103.84185235
