"","Name","rack_count","longitude","latitude","address"
"114","kml_114",44,"103.962385485095","1.33577369978381","21 Changi South Ave 1, Expo, Singapore"
"115","kml_115",96,"103.961509084747","1.33428946711668","21 Changi South Ave 1, Expo, Singapore"
"116","kml_116",56,"103.962124601561","1.33573279201776","21 Changi South Ave 1, Expo, Singapore"
"117","kml_117",43,"103.953915216426","1.34307695295956","242 Simei Street 5, Block 242, Singapore 520242"
"118","kml_118",9,"103.87663057193","1.30317443175138","3 Stadium Walk, Singapore 397692"
"119","kml_119",30,"103.874248037661","1.30265292405367","3 Stadium Walk, Stadium, Singapore 397692"
"120","kml_120",0,"103.747322425881","1.39667011777879","61 Choa Chu Kang Dr, Yew Tee, Singapore 689715"
"121","kml_121",5,"103.762168141767","1.37918936235699","185 Jelebu Rd, Singapore 670185"
"122","kml_122",100,"103.636221043493","1.33979395071103","20 Tuas West Dr, Singapore 638418"
"123","kml_123",30,"103.637289223667","1.34052245129831","Tuas Link Stn, Singapore"
"124","kml_124",98,"103.639507609653","1.32966633964335","135 Pioneer Rd, Singapore 639589"
"125","kml_125",14,"103.640017087901","1.33007429194951","Tuas West Rd Stn Exit B, Singapore"
"126","kml_126",24,"103.64915134059","1.32054732747823","90 Pioneer Rd, Singapore 639608"
"127","kml_127",14,"103.64960002047","1.32102228746784","1 Tuas Ave 2, Singapore 639441"
"128","kml_128",30,"103.660980119778","1.31945264435171","Gul Circle Stn Exit A, Singapore"
"129","kml_129",20,"103.660482228013","1.31891649579597","7A Tuas Rd, Gul Circle, Singapore 637288"
"130","kml_130",0,"103.678742583825","1.32753049624097","Joo Koon, Singapore"
"131","kml_131",0,"103.697284155294","1.3378878561129","31 Jurong West Street 63, Pioneer, Singapore 648310"
"132","kml_132",13,"103.696967143071","1.33814132735977","650A Jurong West Street 61, Block 650A, Singapore 641650"
"133","kml_133",20,"103.863503066157","1.30013203132746","20 Republic Ave, Nicoll Highway, Singapore 038970"
"134","kml_134",20,"103.864172827482","1.29959957404591","20 Republic Ave, Nicoll Highway, Singapore 038970"
"135","kml_135",20,"103.791688173264","1.27580020151802","119 Pasir Panjang Rd, Singapore 117424"
"136","kml_136",80,"103.791807914155","1.27598278313075","Pasir Panjang, Singapore"
"137","kml_137",40,"103.784931269357","1.29239774369086","301 South Buona Vista Rd, Kent Ridge, Singapore 118177"
"138","kml_138",40,"103.784615786562","1.29429413766316","301 South Buona Vista Rd, Kent Ridge, Singapore 118177"
"139","kml_139",30,"103.787834052444","1.29970817938388","Connexis Tower, 1 Fusionopolis Way, Connexis Tower, Singapore 138632 Fusionopolis Pl, Singapore 138632, Singapore 138632"
